batch_id,name,date,volume,predicted_alcohol,residual_sugar,honey_quantity,fermaid_k,note
1,Hydromel de miel de framboisier,15/05/2024,1.0,10.0,50.0,334.0,No,Test
2,Hydromel de miel de printemps,15/05/2024,1.0,10.0,50.0,345.0,No,
3,Hydromel de miel de printemps,28/10/2024,3.0,12.0,50.0,1032.0,Yes,Test à réaliser
